Related Ids	Улица	Дом	Корпус	Строение	Год постройки	Этажность	Тип дома	Назначение	Высота этажа	Общая площадь	Лифт
51735, 51745, 29260, 17246, 59130, 7230, 29293, 62513, 6692, 26775, 29290, 62895, 1223713, 51739, 11974, 62512, 29289, 22081, 1392125, 12224, 14216, 53036, 1240294, 1175236, 34753, 15398, 58276, 49090, 35123, 51742, 82915, 41942, 20890, 16656, 35124, 10256	проезд Михайловский	1		1							
955876, 105, 81016, 30510, 1449033, 1221306, 1220564, 1060090, 1172403, 1220368, 82032, 36500, 1059126, 62580	улица Фридриха Энгельса	58		1							
1224700, 1240305, 1064253, 56701, 1175904, 1066579, 1392479, 1469529, 1061011, 46080, 1056892, 1063230, 1061213, 1056062	проспект Ленинградский	37	12								
79075, 67237, 614, 26136, 49561, 61654, 75787, 54461, 62682, 1392500, 49455, 51375, 28563, 26523, 30021, 75788, 67238	улица Малая Дмитровка	5/9									
1375954, 11759, 32711, 40865, 12121, 65015, 39054, 62645, 16840, 1064436, 34505, 30978, 29181, 82237, 55299, 79930, 81344, 62831, 79654, 75904, 80515, 79155, 65474, 80030, 58012, 26786, 26873, 1226225, 59104, 35009, 1221885, 68989, 22880, 28472, 28641, 29597, 84252, 1174043, 1173727, 59436, 23300, 21319, 19350, 78325, 18507, 21645, 12897, 49433, 7399, 16448, 68427, 53713, 1448679, 49379, 53195, 59121, 48714, 78106, 7694, 58014, 84049, 69665, 1061244, 1060308, 40219, 54306, 1173003, 58015, 32712, 33835, 1059933, 57812, 60606, 70796, 1380481, 1380523, 1061562, 60665, 76026, 43182, 1451194, 40926, 1467556, 1061030, 1468176, 73906, 21244, 1060083, 13820, 1468381, 1060173, 59194, 53043, 50311, 59120, 27708, 72333, 1063341, 22802, 22795, 58848, 23999, 66230, 6142, 1063015, 3790, 12240, 59193, 847, 3674, 34947, 1380433, 29574, 1059721, 1173352, 35379, 45091, 1451214, 66293, 84181, 45301, 1467886, 22826, 66006, 4097, 73988, 23122, 33984, 1239263, 1062173, 1380935, 1062405, 1243421, 59124, 1173158, 58013, 4634, 5817, 1060335, 11133, 45347, 1062899, 4, 43259, 7302, 82811, 1062409	проезд 2-й Павелецкий	5		1							
28213, 63343, 63884, 54908, 79573, 61082, 1171493, 64601, 64593, 27081, 17879, 12347, 22682, 64616, 36931, 51579	переулок Красина	15		1							
1066671, 1222848, 1062879, 19906, 28962, 66168, 81142, 30959, 41058, 8185, 44826, 1174239, 1064581, 1057030, 1057904, 1057917, 1066225, 1066808, 1066943, 1242403, 1375865, 1241997, 1057536, 56930, 1057433, 1173735, 1058025, 52468, 1468299, 1066807, 81147, 1391768, 78353, 66203, 1222897, 32790, 26358, 1068135, 1448649, 25833, 1057921, 1057877, 1066701, 1062064, 1970, 1068088, 1066909, 1066976, 1174433, 1057387, 5879, 1068126, 27675, 1067290	проезд Соймоновский	7		1							
65820, 21518, 1224791, 18580, 59246, 1222067, 1064593, 1451171, 1451284, 1467188, 19232, 25959, 33721	проезд Промышленный	7									
24391, 80809, 79910, 81734, 71993, 20282, 31647, 29280, 1056494, 54577, 76307, 41478, 43616, 70903, 56583, 1379574, 61140, 13401, 29379, 64177, 1220570, 1056265, 1449417	переулок Хлебников	5									
17422, 74870, 60748, 1171022, 39246, 1057410, 1055688, 81208, 74789, 1055780, 1466742, 1057524, 1220396, 1220482, 79016, 1056275	проезд Сибирский	2		2							
79756, 17290, 1056505, 1055504, 59112	улица 1-я Магистральная	16		1							
36450, 61739, 61263, 65010, 19187, 1380128, 1058816, 47364	улица Ивана Франко	4	2								
38658, 47447, 1172906, 7344, 54377, 58822	шоссе Дмитровское	7	2								
38988, 1059503, 74546, 17525, 42567, 34238, 30549	переулок Леснорядский	18		21							
1171679, 53955, 71849, 19216, 10569, 69199, 1057545, 1056256, 81221, 1171234, 1171473, 31817, 1059552, 81326, 81327, 53953, 31813, 54550, 1226219, 1226221, 64257, 40823, 1226218, 31816, 31820, 31821, 31819, 1171792, 1240658, 1171235, 1226195, 1056179, 1240657, 1223250, 61813, 31812, 1057487, 1240654, 1171863, 60738, 40819, 40839, 1057022, 1171791, 1057955, 1058038, 1058046, 81328, 1468637, 51198, 58273, 1226199, 38633, 25597, 22694, 67625, 50822, 1226217, 2156, 22650, 10848, 1240656, 24409, 46671, 2544, 39208, 40831, 73133, 61570, 8651, 1056938, 17316, 1171678, 1057064, 1058032, 1058104, 5741, 1058614, 82859, 1057063, 1226198, 1226200, 1226201, 1226202, 81220, 1226196, 1240659	улица Архитектора Власова	49									
62307, 77944, 67458, 64075, 22240, 70558, 40312, 1062293, 1061194, 1067914, 41144, 1061182, 1061196, 40711, 1173198, 52345, 1391752, 14180, 70171, 11742, 25269, 47464, 50125, 77347	переулок Тессинский	5									
27193, 65362, 10092, 54768, 30841, 29749, 45161, 19748, 42843, 8753	улица 1-я Магистральная	13		7							
61068, 76411, 27475, 248, 58689, 1057634, 23786, 6215, 18918, 72843	проспект Мира	104		2							
8222, 11462, 21805, 26141, 49650, 16466	переулок 2-й Тверской-Ямской	10									
20642, 31666, 59971, 4715	проезд Юрловский	14	4								
21218, 61698, 46359, 48201, 1062079, 36521	переулок Большой Спасоглинищевский	8		8							
1058356, 1066978, 1242924, 1060040, 1060160	улица Большая Почтовая	43-45		1							
1221576, 40402, 1391755	улица Водников	2		4							
1241180, 1241451, 21186, 1467872, 61131, 1448563	улица Ивана Бабушкина	3		1							
1467036, 9543, 37311, 1058540	улица Электродная	13а		2							
16000, 8436, 58431	улица Генерала Белова	26									
27603, 63054, 22022	улица Большая Дмитровка	32		9							
33000, 57931, 34699, 33705, 69087, 10923	переулок Большой Палашевский	11		2							
34642, 74173, 1376286	переулок Милютинский	15		2а							
38905, 76080, 1450986	улица Салтыковская	8									
40748, 29516, 76262, 1067102, 70877	улица Николоямская	16/2		20							
42943, 33005, 77556	улица Зорге	22а									
43796, 72736, 44763, 1064127	улица Сергия Радонежского	7									
49342, 53290, 60454, 81113, 65512, 75261	шоссе Варшавское	125ж									
55800, 57316, 41541	бульвар Тверской	9									
58576, 26353, 58444, 1063478, 3010	улица Сущевская	8/12		1							
62177, 1173318, 56576, 1066032, 15122	улица Беговая	18	2								
66838, 21049, 20965, 1225161	проспект Мира	26		1							
67616, 71433, 54496, 1450925, 20992	улица Долгоруковская	2									
71043, 52617, 1469012, 1391743, 54193, 65589	улица Минская	18	2								
72448, 78696, 40200	улица Поклонная	4									
73390, 74236, 22072	улица Бакунинская	23-41		2							
73569, 65834, 18602	улица Фридриха Энгельса	20		1							
75833, 33341, 31697	шоссе Ленинградское	64	2								
77124, 52504, 62529	улица Плеханова	15а									
7713, 8397, 1242686	набережная Дербеневская	11	в								
77858, 82791, 77716	улица Отрадная	2б		7							
70331, 35023, 74016, 21619, 8497, 44123, 54328	переулок Последний	23	3								
1244558, 1469050, 1391985, 16839, 81274, 66828, 50286, 76478, 1224471	переулок Трехпрудный	9		7							
66070, 78983, 68065, 78102, 68258, 20692, 40450, 41934, 28057, 55804, 418, 82687, 1063593, 80284, 8839, 27918, 75951, 76577, 16470, 1245023, 73846, 34075, 18851, 20685, 20738, 17700, 73819, 53791, 1174890, 34585, 1392278, 73599, 8173, 35572, 18812, 57339, 33578, 25567, 3766, 23644, 45888, 1392537, 1392297, 41732, 46828, 1380675, 1376778, 77014, 77152, 7057, 14767, 10047, 10168, 17693, 20902, 1392543	набережная Краснопресненская	6									
1240331, 1062188, 65146, 1068082, 1065959, 1065061, 1240330, 7189, 1242448, 63835, 1243353, 1244608, 1065420, 1069250, 1062581, 1075467, 1058132, 1224515, 1392178, 1469502, 1392103, 1392462, 1451154, 65211, 51582, 4107, 1063326, 1392220, 1392423, 1468312, 1391908, 1224731, 1468093, 1469678, 1469684, 46788, 79352, 1175465, 1065391, 1065966, 56811, 1060427, 60466, 18891, 1063113, 1061227, 1225122, 1063190, 1174747, 1222915, 27624, 1061012	переулок Нижний Сусальный	5		1							
15429, 63207, 40756, 62881, 44561, 3245	переулок Московско-Казанский	11-15									
45110, 68848, 74709, 42394, 40304, 28028, 50691	проезд 3-й Нижнелихоборский	3									
1059353, 36826, 79825, 1172441, 1055801, 1172412, 1220473, 1058187, 1221528	улица Антонова-Овсеенко	15		2							
20412, 42494, 1057782, 77937, 4359, 34906	улица Мясницкая	22/2									
49006, 18878, 1068080, 32938	улица Яблочкова	21		3							
50870, 79872, 1056129, 1239976, 1061351, 1483729, 1450698	проезд № 4801	7		3							
1240927, 1449721, 1467109, 1171882, 14048, 59767, 1523719, 60494	улица 1-я Владимирская	20а									
18996, 81699, 66812, 19182, 67861, 1392191, 33376, 1451539, 27028, 1063181	переулок Расторгуевский	4		2							
51941, 81032, 1224895, 32052, 81624, 1064626, 41173, 74707, 56381, 65209, 41828, 8616, 18213, 1175835, 66420	набережная Раушская	22		2							
76345, 63104, 1239200, 36632, 78492, 1469171, 9991, 17223	улица Кибальчича	11	1								
6857, 26884, 30974, 18485, 46469, 68003, 18493, 48803, 56262, 24933, 25305, 84299, 28665, 23577, 27474	переулок Милютинский	2/9									
64301, 42944, 4334, 3867, 17495, 1226156, 70522, 33190	улица Барклая	6		25							
1058627, 1058876, 61646, 61645, 34245, 82389, 40575, 68050	набережная Павелецкая	2		1							
51059, 64460, 1221058, 6979, 1066066, 51113, 1467603, 1469391, 51545, 48952	переулок 1-й Тружеников	12		3							
20868, 44350, 66766, 1224135, 1466965, 56531, 56312, 2950, 50189, 51576	переулок Подсосенский	21		1							
56780, 62198, 65768, 44706, 38361, 52137, 1068218, 1067349, 33406, 1061019, 23513, 11273, 2647, 26773, 1068217, 1068305, 1059305, 71503, 1060862, 1173730, 1375846, 1221174, 1226692, 1226693, 1226694, 5101	улица Мосфильмовская	74б									
83055, 42247, 29218, 32376, 71202, 30509, 74378, 39119, 29051, 72087, 25631, 36712, 19191, 50717, 80186	улица Наметкина	10а	1								
24810, 1056269, 1240279, 7568, 1221155, 1057011, 1171199, 1380035, 45619, 47953	улица Вавилова	57а									
1451486, 1451510, 1469105, 1449057, 1451396, 1451403, 1468569, 46210, 29641, 77871	улица Новорязанская	18		21							
80999, 83115, 7949, 57888, 11815, 1173664, 1222403, 1061870, 1467765, 1468718, 52013, 25018, 56130, 47138, 58888	улица Россолимо	17		4							
63400, 64995, 56752, 7782, 3045, 15691, 5189, 1172418, 29228, 1223326, 56790	улица Пятницкая	54		2							
22935, 1057418, 44367, 26900, 19386, 1057407, 1175577, 52983, 50336, 914368, 13973, 1225159, 1061875, 76440, 29555	улица Бурденко	11а		1							
42900, 53449, 1061644, 67881, 11137, 66261, 71504, 40557, 1068215, 1059278, 19634	переулок Филипповский	8		1							
1064150, 1063130, 10720, 31445, 1226520, 1226530, 1226533, 1226529, 14919, 1469392, 1469606, 59976	переулок Малый Калужский	4		3							
1242492, 1226557, 7677, 1222364, 32936, 30714, 1468138, 26548, 1175915, 1392576, 82713, 74336, 1380818, 1062134, 4111	улица Вятская	27		13							
7684, 58283, 52805, 1063285, 7737, 1222952, 1174152, 20848, 70065, 1239851, 47225, 64362, 1376229, 41272, 1174131, 40485, 47185, 53175, 28363, 1886	улица Малая Андроньевская	20/8		1-1а							
1171974, 63804, 63744, 33633, 19449, 69372, 80055, 1059782, 31049, 56046, 361, 25889, 18916, 21612, 79372, 26212, 78241, 39528, 1222740, 1222745, 36608, 11988, 15478, 29909, 33310, 37585, 83156, 68079, 1221930, 12505, 38231, 65372, 19138, 1221186, 1221523, 47743, 76393, 1064339, 1242555, 1221127, 1066596, 63891, 1380335, 30001, 1242530, 1172689, 1172725, 23797, 30846, 71239, 9364, 71717, 15466, 1058785, 42687, 1066180, 1066822, 1468713, 1379697, 2389, 1172106, 1172075, 1240402, 14015, 57619, 1174294, 1174312, 26099, 27055, 19783, 8676, 57593, 5056, 34188, 1061612, 1058389, 6088, 1221489	улица Маши Порываевой	7		а							
70547, 63621, 64267, 61365, 1172125, 1057721, 1056808, 1241069, 63620, 38512, 13665, 1221166, 71391, 13658, 56911, 13385, 57726, 12914	проезд 5-й Донской	4									
1062126, 76453, 57762, 1064563, 1224628, 1060703, 1068228, 1173810, 1468096, 1175524, 1222250, 1067359, 1380940, 1063084, 1226717, 1244926, 1063701	переулок Мартыновский	2		2							
71289, 62562, 1065661, 83827, 1242428, 61774, 56727, 1222721, 14239, 56307, 33313, 57113, 76633, 18540, 1451397, 1467523, 84354, 1469199, 1064807, 8320, 26695	переулок Подсосенский	23		2							
1059392, 1224615, 10215, 24075, 78371, 1226373, 1062757, 2822, 72284, 34941, 1466584, 39939, 24300, 1065182, 1066364, 1172184, 1224314, 1241521, 1241522, 1224514, 1222785, 1224658, 1449365, 1061489, 1239527, 1239529, 1066999, 31577, 30837, 47818, 1380564, 1469307, 1221957, 1242424, 1241160, 1174610, 12618, 1224041, 1449050, 19995, 1173984, 1244889, 1244957, 1244978, 1469101, 1449747, 1057379, 1241513, 1241527, 29312, 1376365, 1059157, 955969, 1175458, 1241776, 1224388, 1060646, 1224834, 1062628, 1466592, 1380938, 1057359, 1469328, 1061207, 1468799, 1392180, 1392363, 1448854, 1448855, 1222014, 1059114, 1449048, 1062725, 1451391, 1175455, 1175200, 60256, 36535, 15268, 1061341, 1468416, 1067016, 51898, 1062342, 1057586, 71382, 24336, 1222720, 5929, 1327, 737, 21018, 1241612, 1244963, 26240, 1380093, 1468742, 1392577, 30005, 76697, 1175971, 1468085, 1173467, 1244539, 1468863, 1468864, 1468866, 1060424, 1066137, 1062982, 60508	улица Краснопролетарская	16		2							
1062804, 1062691, 1174014, 1068064, 1173898, 1062747, 1062805, 51086, 58402, 31865, 1173770, 1173980, 1062629, 23401, 1242991, 58277, 70399, 1055560, 1062550, 1062590, 1062639, 1062750, 1062803, 1062992, 1062223, 1062622, 4756, 1222589, 1222667	переулок Фурманный	9/12									
73611, 27549, 22169, 37609, 1467017, 13989, 1241798, 38934, 31037, 1380136, 1240688, 6774, 36576, 36690, 53319, 55923, 1598, 1484069, 3649, 77414, 30836, 71027, 36348, 41476, 1226192	улица 3-я Хорошевская	18	1								
14907, 32728, 29733, 21688, 63643, 28530, 16760, 35632, 71344, 49001, 15815, 61792, 25607, 23685, 83446, 83447, 1848, 64686	улица Нижняя Сыромятническая	1/4		2							
59360, 21716, 40350, 27308, 8172, 302, 26632, 53372, 54227, 1225066, 8259, 39408, 7277, 48837, 1240366, 45586, 59358, 1467316, 5141, 50266, 40472, 22581	улица Новый Арбат	21		1							
77941, 58048, 23008, 59669, 48497, 58047, 60180, 55437, 1245239, 1245278, 1449882, 59537, 1056582, 42576, 10616, 55693, 50851, 36640	улица Полковника Милиции Курочкина	8									
20122, 83021, 80257, 1379778, 68730, 33174, 20606, 83813, 6333, 38617, 18042, 1242878, 1224311, 68731, 24519, 71476, 73305, 18031, 1375171, 1242580, 44150, 1173965, 67142, 1467571, 49530, 14117, 1067178, 12436, 25864, 3040, 1221495, 45685, 1469306, 1222387, 42098, 33708, 82442, 1060119, 12072, 1056497, 36570, 83049	улица Яузская	5									
21572, 566, 14534, 14274, 14632, 65363, 75582, 75583, 14763, 68282, 56876, 68281, 13089, 2420, 19042, 11013, 2013, 16069, 62071, 29896	переулок Малый Татарский	3									
69256, 339, 1375457, 78522, 1058202, 74282, 3957, 9169, 72060, 5805, 1221579, 66114, 78576, 80561, 49244, 71300, 77432, 72440, 56552, 40871, 7796, 77433, 78528, 76144, 70076, 64187, 29212, 7175, 913655, 80656, 8793, 83043, 72439, 8811, 81058, 28885, 80828, 34900, 9258, 77430, 80393, 82420, 25497, 1171413, 1171414, 1171476, 1171638, 334, 1171853, 79307, 23856, 21994, 7260, 7233, 12713, 29501, 33790, 7393, 66392, 78529, 9236, 40683, 80200, 19212, 22247, 64184, 913648, 25490, 13766, 72229, 29285, 38534, 33981, 15045, 37419, 42769, 10050, 60062, 80710, 1223586, 20093, 1375681, 25656, 82393, 1220759, 1220786, 83793, 67712, 22206, 1173559, 58595, 6666, 48105, 338, 19712, 77417, 36717, 1221371, 22265, 1244413, 1079358, 1223488, 1065408, 32202, 73115, 81057, 32950, 1242656, 7261, 1221724, 1375632, 1240364, 72036, 1059581, 1057652, 19319, 1242675, 913662, 1222400, 22182, 1171209, 1055879, 955959, 1056899, 22026, 48910, 83243, 10177, 69219, 21725, 72304, 82394, 1466837, 80826, 83244, 71117, 1240359, 1467436, 74663, 46674, 39748, 79139, 1061219, 46282, 15653, 1448502, 70893, 30198, 1059954, 1058243, 1058262, 1058757, 1060393, 1375304, 1059811, 72117, 66113, 74760, 30488, 82392, 38087, 55869, 1484084, 36213, 38077, 38274, 42793, 76883, 30265, 75152, 20749, 1451220, 1173200, 1171412, 55326, 1171637, 1467536, 1059642, 40489, 6498, 51872, 1483777, 74520, 1468230, 57903, 38095, 731, 18923, 22575, 71510, 71436, 20991, 82008, 23822, 12249, 27141, 70728, 51723, 1379694, 60294, 80827, 34479, 1060186, 34301, 26533, 69095, 20538, 28726, 1056718, 68477, 1188, 69086, 69254, 18389, 51077, 14792, 18710, 1239244, 38197, 74338, 32924, 33150, 1380115, 1469357, 1380368, 1468756, 1240832, 56153, 1450913, 82396, 72437, 29633, 36328, 38068, 40904, 1484175, 10154, 1451231, 22516, 23868, 1056526, 1067424, 1172467, 1242942, 35388, 48233, 72438, 77604, 44124, 49976, 50204, 66075, 8193, 77429, 30056, 29796, 30178, 1243364, 76820, 1060886, 1172827, 955945, 52901, 1450673, 77427, 56178, 77232, 57078, 2223, 48351, 1450911, 1466766, 1061354, 1060164, 1221204, 1466846, 71180, 6004, 1056720, 60095, 22251, 1220605, 52800, 53117, 20459, 1379701, 1060512, 1375443, 1060573, 1220650, 76348, 79763, 29208, 38206, 9163, 29846, 20947, 1172715, 38099, 38080, 1171639, 69218, 69088, 25857, 1392044, 22264, 1060787, 913647, 15457, 38513	проезд Научный	8		1							
57401, 871, 30518, 64562, 41107, 8255, 59709, 81960, 6944, 73283, 70281, 21043, 73208, 955875, 31061, 70430, 18385, 53676, 52404, 77890, 1056101, 11118, 42327, 76842, 21184, 75187, 76512, 70431, 57205, 1958, 1064805, 35185, 32506, 44278, 74361, 1221221, 1060333, 72456, 20082	шоссе Дмитровское	27	1								
29803, 81240, 57485, 79009, 1060172, 7139, 12004, 80806, 79272, 79273, 79274, 10470, 32124, 70698, 10476, 78849, 78850, 29373, 10325, 32123, 29772, 31323, 31329, 1468232, 9857, 42344, 52539, 81241, 14517, 23452, 69622, 1065802, 1066338, 31322, 41309, 76055, 31324, 31325	шоссе Варшавское	35									
30875, 10611, 53702, 9041, 10212, 44167, 1065903, 1063730, 1066565, 41791, 66472, 66474, 70648, 1391962, 40373, 20758, 1065925, 83358, 66473, 1067393, 1065100, 1066692, 62506, 69079, 1451514, 1468912, 71072, 28891, 43200, 1063785, 1066203, 1468009, 1058491, 1392085, 43303, 36913, 83359, 1063692, 40379, 1064058, 1064129, 1469761, 1062393, 14788, 1065099, 1069004, 33797, 1063917	улица Введенского	1а									
21690, 75875, 1226619, 47753, 81943, 7012, 68491, 1065218, 29931, 1223776, 1065755, 30248, 75940, 57267, 1223681, 1065785, 74676, 1392034, 39044, 560, 79152, 1223702, 69006, 77045, 74290, 82504, 73848, 82923, 1065737, 1065750, 22417, 1173803, 40344, 1065712, 1065719, 1068146, 1065705, 1469635, 42163, 74256, 74991, 79917, 69185, 68921, 11569, 57664, 81317, 1222478, 74944, 40497, 44699, 1244992, 77668	улица Щипок	9/26		1							
1223553, 1469265, 23866, 37856, 43449, 35911, 36758, 1391942, 1467048, 1468544, 49785, 13152, 1448527, 35148, 63719, 1244431, 1220515, 37632, 1064695, 1223455	переулок Тихвинский	11		2							
18256, 58583, 49743, 58011, 58586, 1065745, 1380098, 38542, 914415, 58569, 7338, 46563, 6555, 1223861, 58587, 6696, 58579, 2407, 84289, 52575, 1239595, 31511, 58585, 55980, 58581, 46975, 84432, 1239695, 1059705, 40621, 1240253, 58575, 14402, 47377, 47514, 71899, 1226448, 84381, 13957, 1450583, 58584, 58602, 8437, 34500, 1057997, 47718, 81847, 1059983, 1056005, 65092, 7341, 38520, 1059184, 42993, 18852, 14467, 1068241, 1468769, 1062444, 2229, 4155, 58582, 5200, 18943, 1376459, 13867, 16422, 1380215, 14455, 17393, 36701, 46564, 42432, 1375260, 52576, 12943, 39945, 58580, 58780, 1059393, 57904, 1450723, 55748, 8432, 1060969, 1058734, 59036	улица Щербаковская	3									
45260, 40803, 24505, 34278, 44754, 10414, 3026, 1244638, 1174038, 20792, 1221639, 21271, 34281, 61786, 1380371, 7240, 1392135, 1241385, 1376156, 21604, 13292, 34734, 38374, 34270, 1174132, 1467795, 1467913, 1062151, 1066483, 1066740, 24880, 4714, 10869, 1379535, 44853, 45641, 1375986, 19935, 35377, 44963, 70377, 48959, 61199, 4421, 16055, 3339, 25140, 8737, 1467802, 1376007	проспект Мира	102		27							
71813, 21574, 70387, 1226314, 31218, 1062033, 57818, 6975, 66661, 67637, 76409, 60733, 72674, 66660, 33954, 62657, 68266, 33927, 7941, 50546, 81534, 81536, 70386, 67664, 68338, 44322, 29558, 675, 79296, 60778, 67632, 67638, 68267, 33942, 21103, 1226526, 80501, 1067870, 81535, 1067200, 73474, 66662, 10331, 11650, 29095, 29765, 83366, 32332, 29358, 44180, 66659, 77495, 1240343, 66664, 1223135, 83500, 83501, 1241232, 1067907, 83523, 77198, 39146, 32327, 67640, 67641, 67663, 68335, 68336, 32333, 40218, 44302, 17081, 17722, 1066568, 1245248, 17748, 1063607, 60734, 1468972, 72908, 1240085, 29417, 75567, 1375907, 1240348, 1067677, 83502, 30897, 74698, 1066711, 73970, 81262, 38977, 41526, 31437, 32330, 32334, 1063651, 1059608, 51498, 1060169, 79286, 21073, 1058335, 40704, 1244142, 7884, 17745, 17761, 43080, 39634, 1467156, 1467583, 55032, 1171949, 1467674, 76381, 1467758, 56182, 48672, 1063554, 76928, 1067453, 29018, 83573, 17732, 1175207, 75568, 57385, 66699, 22819, 28099, 23380, 24379, 25231, 25705, 54898, 1241233, 65310, 14242, 48159, 14246, 1380148, 39147, 1380343, 22698, 1376053, 1448858, 1172748, 38975, 1174666, 41757, 15428, 49013, 75569, 44294, 61333, 37825, 1376619, 41189, 41861, 56963, 17752, 48716, 66665, 78698, 81263, 46354, 1064057, 80882, 1064840, 22292, 48650, 1063038, 2432, 68689, 1059755, 4889, 1058730, 1449038, 1061519, 37867, 31247, 1733, 1058789, 17757, 73736, 242, 52039, 67634, 67639, 68337, 69552, 1175228, 32335, 1059567, 6569, 56209, 1376620, 38811, 1172869	шоссе Варшавское	118	1								
1469756, 29116, 1065014, 72245, 1067066, 76349, 40381, 1223081, 77908, 36346, 1063014, 1065302, 47992, 56471, 1391879, 1451382, 1174419, 1175559, 49762, 1065840, 1468376, 1379481, 44620, 33506, 1242872, 36449, 41794, 57645, 1224985, 1060791, 1063932, 1063966	улица 4-я Тверская-Ямская	20		1							
69052, 29276, 29275, 60091, 62277, 1240278, 1171737, 60713, 1221003, 1221008, 46980, 69059, 1221161, 1379880, 62278, 1379954, 1240263, 1240266, 1171833, 1226450, 1467148, 1380099, 1058403, 1058406, 1058443, 1171900, 1467004, 1467064, 1467089, 1467092, 1467147, 1171834, 50194, 8470, 1240277, 1380033, 1448611, 1380000, 60092, 1059871, 1057789, 57872	улица Бибиревская	8	1								
78470, 58349, 8525, 80580, 41491, 73384, 1243225, 60292, 39101, 61452, 58350, 8522, 6074	улица Рябиновая	26		10							
78480, 6743, 64059, 27023, 8333, 65414, 16447, 13660, 64837, 22001, 34389, 28690, 27013, 11914, 43977, 57412, 48268, 23518, 4434, 5747, 5746, 73218, 24766, 26424, 25821, 35040, 42995, 43834, 45094, 45707, 62787, 66135, 6562	улица Средняя Калитниковская	26/27		1							
955857, 78582, 1057494, 23623, 76730, 23128, 18546, 16181, 23718, 1379777, 48741, 16620, 70652, 69352, 53910, 29777, 1239565, 59425, 73312, 1056216, 58447, 61922, 34825, 45060, 60458, 9859, 1239563, 1057110, 1057116, 913710, 1239613, 1056897, 13889, 406, 58448, 1056174, 51414, 1466786, 69759, 1057942, 36454, 30061, 35811, 1171512, 1056214, 35303, 21490, 6067, 1056996, 1057031, 42425, 61147, 45044, 2831, 47383, 8414, 10066, 76966, 1057035, 1103, 77798, 1056900, 59592, 5928	улица Орджоникидзе	11		11							
1379996, 16182, 27181, 54277, 1241119, 23746, 53184, 71458, 68618, 1375561, 48695, 61496, 59594, 1379763, 35352, 61119, 1375790, 53028, 1067304, 74787, 1379990, 69730, 56933, 17574, 14990, 63023, 1171894, 1379657, 51242, 1379997, 44991, 35688, 50149, 32921, 1059785, 1067196, 1058384, 1056844, 1058437, 1379733, 1058485, 1058797, 15857	проспект Ленинский	111	1								
73693, 34752, 77791, 37053, 38901, 55573, 1058127, 34596, 28101, 51399, 44051, 4338	улица Гостиничная	5									
